Age,Experience,Rank,Nationality,Go
36,10,9,UK,NO
42,12,4,USA,NO
23,4,6,N,NO
52,4,4,USA,NO
43,21,8,USA,YES
44,14,5,UK,NO
66,3,7,N,YES
35,14,9,UK,YES
52,13,7,N,YES
35,5,9,N,YES
24,3,5,USA,NO
18,3,7,UK,YES
45,9,9,UK,YES
Honda,Civic,1.6,1252,94
Hundai,I30,1.6,1326,97
Opel,Astra,1.6,1330,97
BMW,1,1.6,1365,99
Mazda,3,2.2,1280,104
Skoda,Rapid,1.6,1119,104
Ford,Focus,2,1328,105
Ford,Mondeo,1.6,1584,94
Opel,Insignia,2,1428,99
Mercedes,C-Class,2.1,1365,99
Skoda,Octavia,1.6,1415,99
Volvo,S60,2,1415,99
Mercedes,CLA,1.5,1465,102
Audi,A4,2,1490,104
Audi,A6,2,1725,114
Volvo,V70,1.6,1523,109
BMW,5,2,1705,114
Mercedes,E-Class,2.1,1605,115
Volvo,XC70,2,1746,117
Ford,B-Max,1.6,1235,104
BMW,2,1.6,1390,108
Opel,Zafira,1.6,1405,109
Mercedes,SLK,2.5,1395,120
